													0.806591931	1.747260787	0.184406952	-0.310089138	0.805094953	-2.439043559							
Q8NBJ4	GOLM1_HUMAN	GOLM1	Golgi membrane protein 1	7	7	172695	HUMAN	206083	17.39786679	17.65286597	0.254999187	1.193335071	1.193335071			0.254999187			P53223	CAX4_YEAST	CAX4	Dolichyldiphosphatase	2	2	78868
Q8NBJ5	GT251_HUMAN	COLGALT1	Procollagen galactosyltransferase 1	21	21	7.66E+06	HUMAN	5831370	22.86970943	22.47540343	-0.394305992	0.760855298	0.760855298			-0.394305992			P53224	ORM1_YEAST	ORM1	Protein ORM1	2	1	3.49E+06
Q8NBJ7	SUMF2_HUMAN	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2	7	7	1.27E+06	HUMAN	1440490	20.27752125	20.45812821	0.180606966	1.133360609	1.133360609			0.180606966			P53226	BUD9_YEAST	BUD9	Bud site selection protein 9	1	1	68915.3
Q8NBK3	SUMF1_HUMAN	SUMF1	Formylglycine-generating enzyme	2	2	172817	HUMAN	214009	17.39888562	17.70731194	0.308426327	1.23835618	1.23835618			0.308426327			P53227	YG1T_YEAST	YGR042W	Uncharacterized protein YGR042W	2	2	11518.5
Q8NBL1	PGLT1_HUMAN	POGLUT1	Protein O-glucosyltransferase 1	3	3	317926	HUMAN	1740580	18.27833148	20.73113669	2.452805214	5.474796022	5.474796022			2.452805214			P53228	TAL2_YEAST	NQM1	Transaldolase NQM1	9	9	1.03E+06
Q8NBM4	UBAC2_HUMAN	UBAC2	Ubiquitin-associated domain-containing protein 2	2	2	2.36E+06	HUMAN		21.17274978										P53235	EIF2A_YEAST	YGR054W	Eukaryotic translation initiation factor 2A	12	12	2.80E+07
Q8NBN3	TM87A_HUMAN	TMEM87A	Transmembrane protein 87A	4	4	1.19E+06	HUMAN	74088.8	20.18009126	16.17696785	-4.003123415	0.062364835	0.062364835			-4.003123415			P53236	RSC1_YEAST	RSC1	Chromatin structure-remodeling complex subunit RSC1	7	7	121417
Q8NBN7	RDH13_HUMAN	RDH13	Retinol dehydrogenase 13	6	6	415219	HUMAN	467249	18.66351294	18.83383205	0.170319115	1.125307368	1.125307368			0.170319115			P53238	PEF1_YEAST	PEF1	Peflin	2	2	52623.4
Q8NBP0	TTC13_HUMAN	TTC13	Tetratricopeptide repeat protein 13	2	2	10803.9	HUMAN		13.39926457										P53244	ART5_YEAST	ART5	Arrestin-related trafficking adapter 5	2	2	66576.9
Q8NBQ5	DHB11_HUMAN	HSD17B11	Estradiol 17-beta-dehydrogenase 11	10	10	1.58E+06	HUMAN	884535	20.59061629	19.7545597	-0.836056583	0.560172637	0.560172637			-0.836056583			P53248	PEX8_YEAST	PEX8	Peroxisomal biogenesis factor 8	1	1	156777
Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5	14	14	1.41E+07	HUMAN	17429400	23.75407439	24.05501957	0.300945176	1.231951257	1.231951257			0.300945176			P53250	TWF1_YEAST	TWF1	Twinfilin-1	9	9	2.76E+06
Q8NBT2	SPC24_HUMAN	SPC24	Kinetochore protein Spc24	1	1	120000	HUMAN	229353	16.87267488	17.80721025	0.934535373	1.911275	1.911275			0.934535373			P53251	SLX9_YEAST	SLX9	Ribosome biogenesis protein SLX9	4	4	3.24E+06
Q8NBU5	ATAD1_HUMAN	ATAD1	ATPase family AAA domain-containing protein 1	10	10	1.82E+06	HUMAN	1359290	20.79583199	20.37442185	-0.421410133	0.746694426	0.746694426			-0.421410133			P53252	PIL1_YEAST	PIL1	Sphingolipid long chain base-responsive protein PIL1	13	12	4.19E+07
Q8NBX0	SCPDL_HUMAN	SCCPDH	Saccharopine dehydrogenase-like oxidoreductase	4	4	371763	HUMAN		18.50402367										P53253	NNF2_YEAST	NNF2	Protein NNF2	4	4	3.86E+06
Q8NBZ7	UXS1_HUMAN	UXS1	UDP-glucuronic acid decarboxylase 1	1	1	23981.6	HUMAN	6961450	14.54964029	22.73095641	8.181316111	290.2829669	290.2829669			8.181316111			P53254	UTP22_YEAST	UTP22	U3 small nucleolar RNA-associated protein 22	29	29	2.03E+06
Q8NC51	PAIRB_HUMAN	SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein	17	17	1.24E+07	HUMAN	10973600	23.56738099	23.38753356	-0.179847434	0.882796348	0.882796348			-0.179847434			P53256	RRP46_YEAST	RRP46	Exosome complex component RRP46	4	4	522229
Q8NC54	KCT2_HUMAN	KCT2	Keratinocyte-associated transmembrane protein 2	2	2	300466	HUMAN		18.19684222										P53258	GYP2_YEAST	MDR1	GTPase-activating protein GYP2	14	14	1.08E+06
Q8NC56	LEMD2_HUMAN	LEMD2	LEM domain-containing protein 2	8	8	1.19E+07	HUMAN	2224770	23.506893	21.08522477	-2.421668238	0.186640213	0.186640213			-2.421668238			P53261	PESC_YEAST	NOP7	Pescadillo homolog	17	17	1.46E+07
Q8NC60	NOA1_HUMAN	NOA1	Nitric oxide-associated protein 1	1	1	8398.1	HUMAN		13.03584725										P53262	VOA1_YEAST	VOA1	V0 assembly protein 1	2	2	215975
Q8NCA5	FA98A_HUMAN	FAM98A	Protein FAM98A	5	5	2.83E+06	HUMAN	2062270	21.43443887	20.9758018	-0.458637074	0.727673373	0.727673373			-0.458637074			P53265	YG2W_YEAST	YGR111W	Uncharacterized protein YGR111W	11	11	1.14E+06
Q8NCE0	SEN2_HUMAN	TSEN2	tRNA-splicing endonuclease subunit Sen2	5	5	89013.1	HUMAN		16.44173005										P53267	DAM1_YEAST	DAM1	DASH complex subunit DAM1	3	3	75152.4
Q8NCE2	MTMRE_HUMAN	MTMR14	Myotubularin-related protein 14	1	1	4486.73	HUMAN		12.13144865										P53270	YG32_YEAST	YGR117C	Uncharacterized protein YGR117C	5	5	402341
Q8NCF5	NF2IP_HUMAN	NFATC2IP	NFATC2-interacting protein	2	2	69122.4	HUMAN	18757.2	16.07686569	14.19515686	-1.881708826	0.271362105	0.271362105			-1.881708826			P53271	COG2_YEAST	COG2	Conserved oligomeric Golgi complex subunit 2	5	5	5.56E+06
Q8NCG7	DGLB_HUMAN	DAGLB	Diacylglycerol lipase-beta	6	6	1.76E+06	HUMAN	2729950	20.74632405	21.3804431	0.634119045	1.551989767	1.551989767			0.634119045			P53272	YG34_YEAST	YGR122W	Uncharacterized protein YGR122W	6	6	116798
Q8NCH0	CHSTE_HUMAN	CHST14	Carbohydrate sulfotransferase 14	2	2	1.27E+06	HUMAN	847979	20.27889406	19.69366901	-0.585225049	0.666545355	0.666545355			-0.585225049			P53273	YG35_YEAST	YGR125W	Uncharacterized vacuolar membrane protein YGR125W	6	6	770383
Q8NCN4	RN169_HUMAN	RNF169	E3 ubiquitin-protein ligase RNF169	2	2	200327	HUMAN	63695	17.61199735	15.95889251	-1.653104848	0.317955143	0.317955143			-1.653104848			P53274	YG36_YEAST	YGR126W	Uncharacterized protein YGR126W	5	5	75025.2
Q8NCN5	PDPR_HUMAN	PDPR	"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial"	10	10	1.22E+06	HUMAN	314791	20.21397279	18.26403477	-1.94993802	0.25882735	0.25882735			-1.94993802			P53275	YG37_YEAST	YGR127W	Uncharacterized protein YGR127W	5	5	1.01E+06
Q8NCW5	NNRE_HUMAN	NAXE	NAD(P)H-hydrate epimerase	11	11	3.19E+06	HUMAN	2041140	21.60454599	20.96094371	-0.643602282	0.640112647	0.640112647			-0.643602282			P53276	UTP8_YEAST	UTP8	U3 small nucleolar RNA-associated protein 8	10	10	5.70E+06
Q8ND24	RN214_HUMAN	RNF214	RING finger protein 214	4	4	153367	HUMAN	976218	17.22662857	19.89684383	2.670215262	6.365241545	6.365241545			2.670215262			P53277	SYF2_YEAST	SYF2	Pre-mRNA-splicing factor SYF2	1	1	76761.5
Q8ND56	LS14A_HUMAN	LSM14A	Protein LSM14 homolog A	6	6	1.77E+06	HUMAN	354022	20.75924129	18.43347949	-2.325761794	0.199469242	0.199469242			-2.325761794			P53278	YG3A_YEAST	YGR130C	Uncharacterized protein YGR130C	17	17	7.02E+06
Q8ND76	CCNY_HUMAN	CCNY	Cyclin-Y	1	1	8919.37	HUMAN		13.1227261										P53280	CF130_YEAST	CAF130	Protein CAF130	1	1	23763.9
Q8NDD1	CA131_HUMAN	C1orf131	Uncharacterized protein C1orf131	1	1	283006	HUMAN		18.11047311										P53281	LSB1_YEAST	LSB1	LAS seventeen-binding protein 1	4	4	7.32E+06
Q8NDF8	PAPD5_HUMAN	TENT4B	Terminal nucleotidyltransferase 4B	3	3	4274.66	HUMAN	4187.4	12.06159396	12.03183902	-0.029754937	0.979586681	0.979586681			-0.029754937			P53290	RAGCD_YEAST	GTR2	GTP-binding protein GTR2	4	4	222527
Q8NDH3	PEPL1_HUMAN	NPEPL1	Probable aminopeptidase NPEPL1	3	3	704611	HUMAN	783046	19.42646747	19.57873754	0.152270063	1.111316741	1.111316741			0.152270063			P53294	PUS6_YEAST	PUS6	tRNA pseudouridine(31) synthase	1	1	1790.33
Q8NDX5	PHC3_HUMAN	PHC3	Polyhomeotic-like protein 3	4	3	475333	HUMAN	242058	18.85857904	17.88499325	-0.973585788	0.509238786	0.509238786			-0.973585788			P53295	RBG2_YEAST	RBG2	Ribosome-interacting GTPase 2	11	11	2.40E+06
Q8NDX6	ZN740_HUMAN	ZNF740	Zinc finger protein 740	1	1	4346.51	HUMAN	49209	12.08564175	15.58663458	3.50099283	11.32149702	11.32149702			3.50099283			P53296	ATF2_YEAST	ATF2	Alcohol O-acetyltransferase 2	5	5	1.11E+06
Q8NDZ4	DIK2A_HUMAN	DIPK2A	Divergent protein kinase domain 2A	2	2	45567.6	HUMAN	93900.7	15.47572077	16.51884829	1.043127525	2.060690052	2.060690052			1.043127525			P53297	PBP1_YEAST	PBP1	PAB1-binding protein 1	11	11	3.43E+06
Q8NE01	CNNM3_HUMAN	CNNM3	Metal transporter CNNM3	4	4	516760	HUMAN	444522	18.97913488	18.7618953	-0.21723958	0.860209769	0.860209769			-0.21723958			P53299	TIM13_YEAST	TIM13	Mitochondrial import inner membrane translocase subunit TIM13	5	5	2.01E+06
Q8NE71	ABCF1_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1	22	22	5.81E+06	HUMAN	11512600	22.46887706	23.45671035	0.987833289	1.983204279	1.983204279			0.987833289			P53301	CRH1_YEAST	CRH1	Probable glycosidase CRH1	8	8	8.88E+06
Q8NE86	MCU_HUMAN	MCU	"Calcium uniporter protein, mitochondrial"	6	6	1.74E+06	HUMAN	2681890	20.73350528	21.35481863	0.62131335	1.538274905	1.538274905			0.62131335			P53303	ZPR1_YEAST	ZPR1	Zinc finger chaperone ZPR1	15	15	1.85E+06
Q8NEB9	PK3C3_HUMAN	PIK3C3	Phosphatidylinositol 3-kinase catalytic subunit type 3	4	4	125923	HUMAN	111056	16.94218229	16.76092781	-0.181254478	0.881935786	0.881935786			-0.181254478			P53309	AP18B_YEAST	YAP1802	Clathrin coat assembly protein AP180B	4	4	874477
Q8NEF9	SRFB1_HUMAN	SRFBP1	Serum response factor-binding protein 1	6	6	798920	HUMAN	2451600	19.60769152	21.22529218	1.617600659	3.068642668	3.068642668			1.617600659			P53312	SUCB_YEAST	LSC2	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	15	15	4.64E+06
Q8NEJ9	NGDN_HUMAN	NGDN	Neuroguidin	8	8	469450	HUMAN	591323	18.84061198	19.17358687	0.332974885	1.259608052	1.259608052			0.332974885			P53314	CPD1_YEAST	CPD1	"2',3'-cyclic-nucleotide 3'-phosphodiesterase"	6	6	56810
Q8NEM2	SHCBP_HUMAN	SHCBP1	SHC SH2 domain-binding protein 1	5	5	393393	HUMAN	444710	18.58561176	18.76250532	0.17689356	1.130447161	1.130447161			0.17689356			P53315	SOL4_YEAST	SOL4	6-phosphogluconolactonase 4	7	7	2.33E+06
Q8NEU8	DP13B_HUMAN	APPL2	DCC-interacting protein 13-beta	1	1	38511.1	HUMAN		15.23298671										P53316	YG5B_YEAST	YGR250C	Uncharacterized RNA-binding protein YGR250C	9	9	2.32E+06
Q8NEW0	ZNT7_HUMAN	SLC30A7	Zinc transporter 7	4	4	1.33E+06	HUMAN	1240560	20.34584485	20.24256008	-0.103284764	0.930911056	0.930911056			-0.103284764			P53317	NOP19_YEAST	NOP19	Nucleolar protein 19	1	1	2667.48
Q8NEY8	PPHLN_HUMAN	PPHLN1	Periphilin-1	3	3	4.91E+06	HUMAN	4640.01	22.22840771	12.1799122	-10.04849551	0.000944281	0.000944281			-10.04849551			P53318	COQ6_YEAST	COQ6	"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial"	5	5	89016.5
Q8NEZ2	VP37A_HUMAN	VPS37A	Vacuolar protein sorting-associated protein 37A	3	3	114615	HUMAN	150485	16.80643634	17.19926016	0.392823823	1.312960782	1.312960782			0.392823823			P53319	6PGD2_YEAST	GND2	"6-phosphogluconate dehydrogenase, decarboxylating 2"	4	4	202799
Q8NEZ5	FBX22_HUMAN	FBXO22	F-box only protein 22	7	7	1.47E+06	HUMAN	1068470	20.48905218	20.02711497	-0.461937213	0.726010736	0.726010736			-0.461937213			P53323	BUD32_YEAST	BUD32	EKC/KEOPS complex subunit BUD32	2	2	1.63E+06
Q8NF37	PCAT1_HUMAN	LPCAT1	Lysophosphatidylcholine acyltransferase 1	10	10	2.88E+06	HUMAN	2331280	21.4580531	21.15269086	-0.305362238	0.809239004	0.809239004			-0.305362238			P53324	SAY1_YEAST	SAY1	Steryl acetyl hydrolase 1	1	1	47366.7
Q8NFC6	BD1L1_HUMAN	BOD1L1	Biorientation of chromosomes in cell division protein 1-like 1	15	15	357500	HUMAN	559169	18.44758372	19.09292486	0.645341139	1.564109091	1.564109091			0.645341139			P53326	YG5L_YEAST	YGR266W	Uncharacterized protein YGR266W	10	10	739612
Q8NFD5	ARI1B_HUMAN	ARID1B	AT-rich interactive domain-containing protein 1B	2	2	7706.82	HUMAN	3651.15	12.91191998	11.83413522	-1.077784756	0.473755712	0.473755712			-1.077784756			P53327	SLH1_YEAST	SLH1	RQC trigger complex helicase SLH1	10	10	81175.8
Q8NFF5	FAD1_HUMAN	FLAD1	FAD synthase	6	6	2.33E+06	HUMAN	664110	21.1511739	19.3410627	-1.810111202	0.285168947	0.285168947			-1.810111202			P53330	RT102_YEAST	RTT102	Regulator of Ty1 transposition protein 102	5	5	860727
Q8NFH3	NUP43_HUMAN	NUP43	Nucleoporin Nup43	7	7	779912	HUMAN	249351	19.57295182	17.92781846	-1.64513336	0.31971684	0.31971684			-1.64513336			P53331	REXO1_YEAST	RNH70	RNA exonuclease 1	5	5	109932
Q8NFH4	NUP37_HUMAN	NUP37	Nucleoporin Nup37	8	8	1.21E+06	HUMAN	1634660	20.21221613	20.64055916	0.428343039	1.345687143	1.345687143			0.428343039			P53332	COAD_YEAST	CAB4	Phosphopantetheine adenylyltransferase	13	13	1.60E+06
Q8NFH5	NUP35_HUMAN	NUP35	Nucleoporin NUP35	7	7	2.42E+06	HUMAN	1222430	21.20664119	20.22132042	-0.985320769	0.505113404	0.505113404			-0.985320769			P53333	CWC22_YEAST	CWC22	Pre-mRNA-splicing factor CWC22	4	4	518771
Q8NFI3	ENASE_HUMAN	ENGASE	Cytosolic endo-beta-N-acetylglucosaminidase	2	2	119749	HUMAN		16.86965408										P53334	SCW4_YEAST	SCW4	Probable family 17 glucosidase SCW4	8	8	4.04E+07
Q8NFJ5	RAI3_HUMAN	GPRC5A	Retinoic acid-induced protein 3	4	4	4.18E+06	HUMAN	3438750	21.9941117	21.7134528	-0.280658893	0.823214961	0.823214961			-0.280658893			P53335	PXR1_YEAST	PXR1	Protein PXR1	3	3	80823.1
Q8NFQ8	TOIP2_HUMAN	TOR1AIP2	Torsin-1A-interacting protein 2	8	8	747218	HUMAN	1759610	19.51116968	20.74682427	1.235654591	2.354881708	2.354881708			1.235654591			P53336	YG5X_YEAST	YGR283C	Putative methyltransferase YGR283C	3	3	32975.4
Q8NFV4	ABHDB_HUMAN	ABHD11	Protein ABHD11	3	3	522891	HUMAN	395258	18.99615071	18.59243514	-0.403715576	0.755908975	0.755908975			-0.403715576			P53337	ERV29_YEAST	ERV29	ER-derived vesicles protein ERV29	5	5	5.37E+06
Q8NFW8	NEUA_HUMAN	CMAS	N-acylneuraminate cytidylyltransferase	9	9	2.37E+06	HUMAN	429832	21.17776989	18.71341337	-2.464356524	0.18119857	0.18119857			-2.464356524			P53350	PLK1_HUMAN	PLK1	Serine/threonine-protein kinase PLK1	5	5	97833.7
Q8NHH9	ATLA2_HUMAN	ATL2	Atlastin-2	6	6	1.26E+07	HUMAN	7209520	23.58839669	22.78147178	-0.806924908	0.571598919	0.571598919			-0.806924908			P53365	ARFP2_HUMAN	ARFIP2	Arfaptin-2	3	3	264651
Q8NHP6	MSPD2_HUMAN	MOSPD2	Motile sperm domain-containing protein 2	5	5	228695	HUMAN	50762.4	17.8030653	15.63147266	-2.171592639	0.2219655	0.2219655			-2.171592639			P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1	7	7	6.80E+06
Q8NHP8	PLBL2_HUMAN	PLBD2	Putative phospholipase B-like 2	3	3	273683	HUMAN	127952	18.0621463	16.96524317	-1.096903125	0.467518991	0.467518991			-1.096903125			P53378	TBG_YEAST	TUB4	Tubulin gamma chain	3	3	98299.9
Q8NHQ9	DDX55_HUMAN	DDX55	ATP-dependent RNA helicase DDX55	5	5	600779	HUMAN	17247	19.19647486	14.07405782	-5.122417043	0.028707728	0.028707728			-5.122417043			P53379	MKC7_YEAST	MKC7	Aspartic proteinase MKC7	2	2	616526
Q8NHV4	NEDD1_HUMAN	NEDD1	Protein NEDD1	6	6	57500.3	HUMAN	6264	15.81128186	12.6128685	-3.198413365	0.108938562	0.108938562			-3.198413365			P53384	NUBP1_HUMAN	NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1	2	2	903492
Q8NI08	NCOA7_HUMAN	NCOA7	Nuclear receptor coactivator 7	7	7	194882	HUMAN	68359.6	17.57224132	16.06085633	-1.511384984	0.350774315	0.350774315			-1.511384984			P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	34	34	6.45E+06
Q8NI22	MCFD2_HUMAN	MCFD2	Multiple coagulation factor deficiency protein 2	1	1	1.18E+06	HUMAN	1410380	20.17544478	20.42765249	0.252207712	1.191028315	1.191028315			0.252207712			P53438	SOK2_YEAST	SOK2	Protein SOK2	5	4	31987
Q8NI27	THOC2_HUMAN	THOC2	THO complex subunit 2	21	21	1.37E+06	HUMAN	2625580	20.38754408	21.32420472	0.936660648	1.914092629	1.914092629			0.936660648			P53538	SSU72_YEAST	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	2	2	33644
Q8NI36	WDR36_HUMAN	WDR36	WD repeat-containing protein 36	15	15	1.18E+06	HUMAN	947844	20.17455513	19.85429011	-0.320265025	0.800922734	0.800922734			-0.320265025			P53540	SPC98_YEAST	SPC98	Spindle pole body component SPC98	2	2	8456.68
Q8NI60	COQ8A_HUMAN	COQ8A	"Atypical kinase COQ8A, mitochondrial"	2	2	142439	HUMAN		17.11998469										P53549	PRS10_YEAST	RPT4	26S proteasome subunit RPT4	9	9	2.52E+06
Q8TA86	RP9_HUMAN	RP9	Retinitis pigmentosa 9 protein	3	3	79045.5	HUMAN		16.27039571										P53550	DCP2_YEAST	DCP2	m7GpppN-mRNA hydrolase	22	22	1.62E+06
Q8TAA5	GRPE2_HUMAN	GRPEL2	"GrpE protein homolog 2, mitochondrial"	1	1	55076.2	HUMAN		15.7491414										P53551	H1_YEAST	HHO1	Histone H1	6	6	1.99E+06
Q8TAA9	VANG1_HUMAN	VANGL1	Vang-like protein 1	3	3	8588.64	HUMAN	76366.9	13.06821399	16.22065984	3.152445855	8.891617299	8.891617299			3.152445855			P53552	THO2_YEAST	THO2	THO complex subunit 2	15	15	1.58E+06
Q8TAD4	ZNT5_HUMAN	SLC30A5	Zinc transporter 5	2	2	136463	HUMAN	36840.8	17.05815031	15.16901677	-1.889133543	0.269969149	0.269969149			-1.889133543			P53582	MAP11_HUMAN	METAP1	Methionine aminopeptidase 1	6	6	800842
Q8TAD8	SNIP1_HUMAN	SNIP1	Smad nuclear-interacting protein 1	2	2	279704	HUMAN		18.09354136										P53597	SUCA_HUMAN	SUCLG1	"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"	4	4	2.55E+06
Q8TAE8	G45IP_HUMAN	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1	5	5	493227	HUMAN	345841	18.91189225	18.39974939	-0.512142864	0.701180187	0.701180187			-0.512142864			P53598	SUCA_YEAST	LSC1	"Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial"	8	8	4.58E+06
Q8TAF3	WDR48_HUMAN	WDR48	WD repeat-containing protein 48	8	8	163114	HUMAN	210704	17.31552109	17.68485818	0.369337089	1.291759138	1.291759138			0.369337089			P53599	SSK2_YEAST	SSK2	MAP kinase kinase kinase SSK2	3	3	460194
Q8TAG9	EXOC6_HUMAN	EXOC6	Exocyst complex component 6	2	1	1.66E+06	HUMAN		20.66192594										P53600	COPZ_YEAST	RET3	Coatomer subunit zeta	5	5	7.47E+06
Q8TAP9	MPLKI_HUMAN	MPLKIP	M-phase-specific PLK1-interacting protein	1	1	7958.53	HUMAN		12.95828626										P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase	4	4	2.07E+06
Q8TAQ2	SMRC2_HUMAN	SMARCC2	SWI/SNF complex subunit SMARCC2	19	12	1.32E+07	HUMAN	7911090	23.65432966	22.91544505	-0.738884606	0.599202436	0.599202436			-0.738884606			P53604	MSO1_YEAST	MSO1	Protein MSO1	4	4	763443
Q8TAT6	NPL4_HUMAN	NPLOC4	Nuclear protein localization protein 4 homolog	7	7	1.44E+06	HUMAN	914980	20.45342337	19.80338068	-0.650042689	0.637261457	0.637261457			-0.650042689			P53611	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta	6	6	757912
Q8TB03	CX038_HUMAN	CXorf38	Uncharacterized protein CXorf38	1	1	90961.4	HUMAN	205106	16.47296684	17.64601017	1.173043332	2.254868549	2.254868549			1.173043332			P53615	CAN_YEAST	NCE103	Carbonic anhydrase	2	2	1.34E+06
Q8TB22	SPT20_HUMAN	SPATA20	Spermatogenesis-associated protein 20	1	1	3187.2	HUMAN		11.63807384										P53617	NRD1_YEAST	NRD1	Protein NRD1	7	7	2.53E+06
Q8TB36	GDAP1_HUMAN	GDAP1	Ganglioside-induced differentiation-associated protein 1	2	2	109482	HUMAN	3860.76	16.74033417	11.91466916	-4.825665011	0.035263879	0.035263879			-4.825665011			P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	21	21	4.66E+06
Q8TB37	NUBPL_HUMAN	NUBPL	Iron-sulfur protein NUBPL	2	2	50142.9	HUMAN		15.61375782										P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	33	33	1.17E+07
Q8TB45	DPTOR_HUMAN	DEPTOR	DEP domain-containing mTOR-interacting protein	1	1	57367.2	HUMAN		15.80793848										P53622	COPA_YEAST	COP1	Coatomer subunit alpha	35	34	6.05E+06
Q8TB61	S35B2_HUMAN	SLC35B2	Adenosine 3'-phospho 5'-phosphosulfate transporter 1	7	7	956770	HUMAN	620338	19.86781263	19.24269498	-0.625117651	0.648366901	0.648366901			-0.625117651			P53628	SNF12_YEAST	SNF12	Transcription regulatory protein SNF12	5	5	2.76E+06
Q8TB72	PUM2_HUMAN	PUM2	Pumilio homolog 2	4	4	741942	HUMAN	896019	19.50094689	19.7731698	0.272222914	1.207667176	1.207667176			0.272222914			P53629	ARE2_YEAST	ARE2	Sterol O-acyltransferase 2	6	6	3.11E+06
Q8TB96	TIP_HUMAN	ITFG1	T-cell immunomodulatory protein	1	1	5057.36	HUMAN	3920.68	12.30416876	11.93688818	-0.367280582	0.775242419	0.775242419			-0.367280582			P53632	PAP2_YEAST	PAP2	Poly(A) RNA polymerase protein 2	2	2	1.50E+06
Q8TBA6	GOGA5_HUMAN	GOLGA5	Golgin subfamily A member 5	2	2	185527	HUMAN		17.50126963										P53633	PRA1_YEAST	YIP3	Prenylated Rab acceptor 1	5	5	3.03E+06
Q8TBB5	KLDC4_HUMAN	KLHDC4	Kelch domain-containing protein 4	8	8	911772	HUMAN	565122	19.79831358	19.10820283	-0.690110752	0.619806267	0.619806267			-0.690110752			P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	8	8	6.03E+06
Q8TBC4	UBA3_HUMAN	UBA3	NEDD8-activating enzyme E1 catalytic subunit	10	10	1.91E+06	HUMAN	1636000	20.86608507	20.64174132	-0.224343753	0.855984303	0.855984303			-0.224343753			P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma	2	2	1.41E+06
Q8TBP5	F174A_HUMAN	FAM174A	Membrane protein FAM174A	1	1	4156.36	HUMAN		12.0211049										P53686	HST2_YEAST	HST2	NAD-dependent protein deacetylase HST2	4	4	356275
Q8TBP6	S2540_HUMAN	SLC25A40	Solute carrier family 25 member 40	1	1	13282.8	HUMAN		13.69727168										P53691	PPID_YEAST	CPR6	Peptidyl-prolyl cis-trans isomerase CPR6	12	12	1.02E+07
Q8TBX8	PI42C_HUMAN	PIP4K2C	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	5	5	4.41E+06	HUMAN	7645000	22.07231124	22.86608507	0.793773832	1.733603333	1.733603333			0.793773832			P53701	CCHL_HUMAN	HCCS	Cytochrome c-type heme lyase	9	9	836976
Q8TBZ3	WDR20_HUMAN	WDR20	WD repeat-containing protein 20	2	2	370276	HUMAN		18.49824152										P53720	DUS2_YEAST	SMM1	tRNA-dihydrouridine(20) synthase [NAD(P)+]	8	8	232728
Q8TC07	TBC15_HUMAN	TBC1D15	TBC1 domain family member 15	14	14	720488	HUMAN	789971	19.45861488	19.59144017	0.132825291	1.096438803	1.096438803			0.132825291			P53721	RCF2_YEAST	RCF2	"Respiratory supercomplex factor 2, mitochondrial"	2	2	405550
Q8TC12	RDH11_HUMAN	RDH11	Retinol dehydrogenase 11	5	5	1.93E+06	HUMAN	2327000	20.88010214	21.15003978	0.269937641	1.205755709	1.205755709			0.269937641			P53723	YN8B_YEAST	YNR021W	UPF0674 endoplasmic reticulum membrane protein YNR021W	12	12	6.11E+06
Q8TCC3	RM30_HUMAN	MRPL30	"39S ribosomal protein L30, mitochondrial"	3	3	16600.5	HUMAN	49540.5	14.01893908	15.59632081	1.577381734	2.984277582	2.984277582			1.577381734			P53725	MPP6_YEAST	MPP6	M-phase phosphoprotein 6 homolog	1	1	3238
Q8TCC7	S22A8_HUMAN	SLC22A8	Solute carrier family 22 member 8	1	1	1.24E+07	HUMAN		23.56791477										P53727	BUD17_YEAST	BUD17	Putative pyridoxal kinase BUD17	3	3	1.62E+06
Q8TCD1	CR032_HUMAN	C18orf32	UPF0729 protein C18orf32	1	1	223882	HUMAN	173218	17.77237902	17.40222933	-0.370149685	0.773702218	0.773702218			-0.370149685			P53729	ZNG1_YEAST	ZNG1	Zinc-regulated GTPase metalloprotein activator 1	7	7	191116
Q8TCD5	NT5C_HUMAN	NT5C	"5'(3')-deoxyribonucleotidase, cytosolic type"	2	2	216396	HUMAN	228009	17.72331431	17.79873125	0.07541694	1.053665502	1.053665502			0.07541694			P53730	ALG12_YEAST	ALG12	"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase"	3	3	1.26E+06
Q8TCG1	CIP2A_HUMAN	CIP2A	Protein CIP2A	1	1	97922.5	HUMAN		16.57935277										P53731	ARPC2_YEAST	ARC35	Actin-related protein 2/3 complex subunit 2	8	8	6.70E+06
